,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
141,199.000 ₫,0,6,26,4.5,721,2,4.5
142,225.000 ₫,0,1,26,4.7,597,3,0
143,247.000 ₫,0,0,0,0.0,0,1,0
144,640.000 ₫,0,0,0,4.0,3,1,0
145,43.000 ₫,0,1,27,4.6,18,0,5
146,200.000 ₫,0,0,10,4.5,463,1,5
147,538.000 ₫,0,0,12,4.8,808,1,5
148,171.000 ₫,-4%,2,42,4.5,721,2,0
149,460.000 ₫,0,6,19,4.5,3,3,0
150,199.000 ₫,0,6,0,4.7,657,1,0
151,140.000 ₫,0,0,0,4.4,7,1,0
152,420.000 ₫,0,3,19,4.6,18,1,2.3
153,1.795.000 ₫,0,1,1,4.8,931,2,5
154,500.000 ₫,0,0,2,0.0,1,1,0
155,1.150.000 ₫,0,0,3,0.0,0,0,0
156,1.600.000 ₫,0,0,0,3.3,0,2,0
157,378.000 ₫,0,0,0,0.0,0,1,0
158,460.000 ₫,0,0,0,0.0,0,0,0
159,150.000 ₫,0,0,0,0.0,0,1,0
160,399.000 ₫,0,1,3,4.5,721,2,5
161,390.000 ₫,0,2,20,4.7,657,4,0
162,780.000 ₫,0,0,0,4.7,1536,5,0
163,175.000 ₫,0,0,7,4.8,0,1,4.5
164,395.000 ₫,0,0,0,5.0,76,2,0
165,385.000 ₫,0,0,0,4.8,931,1,0
166,913.000 ₫,0,2,9,4.8,808,2,5
167,308.000 ₫,-5%,0,0,4.9,4,1,0
168,440.000 ₫,0,1,13,4.7,597,3,5
169,86.000 ₫,0,0,0,0.0,0,1,0
170,455.000 ₫,-50%,0,0,4.7,64,1,0
171,172.000 ₫,0,0,0,5.0,22,2,0
172,1.150.000 ₫,-23%,0,2,4.8,657,4,0
173,220.000 ₫,0,1,4,0.0,0,2,5
174,140.000 ₫,0,0,0,4.8,40,1,0
175,520.000 ₫,0,1,1,4.7,1536,5,5
176,255.000 ₫,0,0,0,0.0,4,1,0
177,360.000 ₫,0,6,18,4.9,22,1,5
178,199.000 ₫,0,9,24,4.7,69,3,4.7
179,429.000 ₫,-9%,1,11,4.5,8,1,5
180,345.000 ₫,-41%,0,1,4.7,1331,4,0
181,1.980.000 ₫,0,0,0,4.8,507,5,0
182,198.000 ₫,-50%,0,0,4.7,64,1,0
183,590.000 ₫,0,0,0,4.7,597,3,0
184,1.155.000 ₫,0,0,0,4.8,931,2,0
185,260.000 ₫,0,0,1,4.8,507,4,0
186,699.000 ₫,0,0,0,0.0,13,1,0
187,132.000 ₫,0,0,0,4.8,0,1,0
188,460.000 ₫,0,0,0,0.0,0,1,0
189,395.000 ₫,0,0,0,4.8,1331,1,0
190,595.000 ₫,0,0,2,4.5,721,2,0
191,90.000 ₫,0,4,22,4.7,16,1,5
192,349.000 ₫,0,2,5,4.7,72,1,4.8
193,130.000 ₫,0,2,0,4.3,6,1,0
194,180.000 ₫,0,0,25,4.8,808,1,0
195,140.000 ₫,0,0,0,0.0,0,1,0
196,530.000 ₫,0,0,0,4.5,178,1,0
197,120.000 ₫,0,3,20,4.5,15,1,4.7
198,660.000 ₫,0,0,0,0.0,0,0,0
199,320.000 ₫,0,0,4,0.0,0,0,0
200,199.000 ₫,-23%,9,41,0.0,0,0,0
201,775.000 ₫,0,1,5,0.0,0,0,5
202,360.000 ₫,0,2,2,0.0,0,0,0
203,429.000 ₫,-31%,4,10,0.0,0,0,5
204,272.000 ₫,-15%,0,0,0.0,0,0,0
205,349.000 ₫,0,2,5,0.0,0,0,5
206,123.400 ₫,0,0,0,0.0,0,0,0
207,299.000 ₫,0,0,0,0.0,0,0,0
208,429.000 ₫,0,0,0,0.0,0,0,0
209,325.000 ₫,0,0,0,0.0,2,7,0
210,299.000 ₫,0,0,0,0.0,0,1,0
211,1.380.000 ₫,0,0,3,4.4,8,2,0
212,195.000 ₫,0,0,0,4.8,931,1,0
213,22.000 ₫,-35%,3,39,4.3,2457,4,5
214,415.000 ₫,0,0,0,5.0,76,2,0
215,239.000 ₫,-50%,0,0,4.7,64,1,0
216,360.000 ₫,0,4,20,4.7,160,1,5
